day,new_accounts,percent_anonymous,total_messages,topic_change_percent
2023-01-01,10,40.00,5,
2023-01-02,10,40.00,5,
2023-01-03,10,60.00,5,
2023-01-04,10,60.00,5,
2023-01-05,10,20.00,5,
2023-01-06,10,60.00,5,
2023-01-07,10,60.00,5,
2023-01-08,10,20.00,5,
2023-01-09,10,0.00,5,
2023-01-10,10,40.00,5,
2023-01-11,10,40.00,5,
2023-01-12,10,60.00,5,
2023-01-13,10,80.00,5,
2023-01-14,10,80.00,5,
2023-01-15,10,40.00,5,
2023-01-16,10,40.00,5,
2023-01-17,10,40.00,5,
2023-01-18,10,40.00,5,
2023-01-19,10,60.00,5,
2023-01-20,10,40.00,5,
2023-01-21,10,60.00,5,
2023-01-22,10,60.00,5,
2023-01-23,10,40.00,5,
2023-01-24,10,40.00,5,
2023-01-25,10,60.00,5,
2023-01-26,10,20.00,5,
2023-01-27,10,80.00,5,
2023-01-28,10,40.00,5,
2023-01-29,10,40.00,5,
2023-01-30,10,60.00,5,
2023-01-31,10,40.00,5,
