user_id,username,action_type,response_code,duration_min
1,"edwardspaul",registration,success,0
2,"meghanclark",registration,success,0
3,"dunnbrittany",registration,success,0
4,"xallen",registration,success,0
5,"ffigueroa",registration,success,0
3,"dunnbrittany",login,success,0
3,"dunnbrittany",login,success,0
2,"meghanclark",login,success,0
4,"xallen",login,success,0
2,"meghanclark",login,success,0
4,"xallen",logout,success,0
1,"edwardspaul",logout,success,0
1,"edwardspaul",logout,success,0
2,"meghanclark",logout,success,0
1,"edwardspaul",logout,success,0
3,"dunnbrittany",create_topic,success,0
5,"ffigueroa",create_topic,success,0
4,"xallen",create_topic,success,0
3,"dunnbrittany",delete_topic,success,0
3,"dunnbrittany",delete_topic,success,0
2,"meghanclark",delete_topic,success,0
2,"meghanclark",delete_topic,success,0
5,"ffigueroa",delete_topic,success,0
2,"meghanclark",create_message,success,0
1,"edwardspaul",create_message,success,0
2,"meghanclark",create_message,success,0
6,"melissa61",registration,success,0
7,"kdavenport",registration,success,0
8,"cookstephen",registration,success,0
9,"uwillis",registration,success,0
10,"whitejuan",registration,success,0
1,"edwardspaul",login,success,1440
3,"dunnbrittany",login,success,1440
4,"xallen",login,success,1440
1,"edwardspaul",login,success,1440
2,"meghanclark",login,success,1440
1,"edwardspaul",logout,success,1440
4,"xallen",logout,success,1440
1,"edwardspaul",logout,success,1440
2,"meghanclark",logout,success,1440
2,"meghanclark",logout,success,1440
10,"whitejuan",create_topic,success,0
6,"melissa61",create_topic,success,0
6,"melissa61",create_topic,success,0
3,"dunnbrittany",create_topic,success,1440
3,"dunnbrittany",delete_topic,success,1440
6,"melissa61",delete_topic,success,0
8,"cookstephen",delete_topic,success,0
7,"kdavenport",delete_topic,success,0
7,"kdavenport",delete_topic,success,0
6,"melissa61",create_message,success,0
8,"cookstephen",create_message,success,0
8,"cookstephen",create_message,success,0
11,"amy54",registration,success,0
12,"martinezapril",registration,success,0
13,"martineznicholas",registration,success,0
14,"martinbailey",registration,success,0
15,"steven69",registration,success,0
12,"martinezapril",login,success,0
1,"edwardspaul",login,success,2880
12,"martinezapril",login,success,0
8,"cookstephen",login,success,1440
14,"martinbailey",login,success,0
12,"martinezapril",logout,success,0
13,"martineznicholas",logout,success,0
13,"martineznicholas",logout,success,0
10,"whitejuan",logout,success,1440
5,"ffigueroa",logout,success,2880
2,"meghanclark",create_topic,success,2880
10,"whitejuan",delete_topic,success,1440
5,"ffigueroa",delete_topic,success,2880
7,"kdavenport",delete_topic,success,1440
14,"martinbailey",delete_topic,success,0
2,"meghanclark",delete_topic,success,2880
3,"dunnbrittany",create_message,success,2880
15,"steven69",create_message,success,0
16,"qwood",registration,success,0
17,"christopherbradley",registration,success,0
18,"margaret49",registration,success,0
19,"vsilva",registration,success,0
20,"uharrington",registration,success,0
5,"ffigueroa",login,success,4320
13,"martineznicholas",login,success,1440
16,"qwood",login,success,0
4,"xallen",login,success,4320
12,"martinezapril",login,success,1440
3,"dunnbrittany",logout,success,4320
19,"vsilva",logout,success,0
10,"whitejuan",logout,success,2880
4,"xallen",logout,success,4320
15,"steven69",logout,success,1440
2,"meghanclark",create_topic,success,4320
13,"martineznicholas",create_topic,success,1440
4,"xallen",create_topic,success,4320
15,"steven69",delete_topic,success,1440
15,"steven69",delete_topic,success,1440
13,"martineznicholas",delete_topic,success,1440
12,"martinezapril",delete_topic,success,1440
20,"uharrington",delete_topic,success,0
15,"steven69",create_message,success,1440
16,"qwood",create_message,success,0
21,"sarahrichardson",registration,success,0
22,"ramosbarbara",registration,success,0
23,"william40",registration,success,0
24,"morseanita",registration,success,0
25,"james97",registration,success,0
4,"xallen",login,success,5760
3,"dunnbrittany",login,success,5760
24,"morseanita",login,success,0
4,"xallen",login,success,5760
21,"sarahrichardson",login,success,0
1,"edwardspaul",logout,success,5760
3,"dunnbrittany",logout,success,5760
2,"meghanclark",logout,success,5760
6,"melissa61",logout,success,4320
22,"ramosbarbara",logout,success,0
4,"xallen",create_topic,success,5760
6,"melissa61",create_topic,success,4320
6,"melissa61",create_topic,success,4320
13,"martineznicholas",create_topic,success,2880
3,"dunnbrittany",delete_topic,success,5760
6,"melissa61",delete_topic,success,4320
2,"meghanclark",delete_topic,success,5760
13,"martineznicholas",delete_topic,success,2880
14,"martinbailey",delete_topic,success,2880
16,"qwood",create_message,success,1440
23,"william40",create_message,success,0
17,"christopherbradley",create_message,success,1440
15,"steven69",create_message,success,2880
26,"williamsjason",registration,success,0
27,"harperbarry",registration,success,0
28,"lreynolds",registration,success,0
29,"nicolesullivan",registration,success,0
30,"ysoto",registration,success,0
7,"kdavenport",login,success,5760
22,"ramosbarbara",login,success,1440
19,"vsilva",login,success,2880
9,"uwillis",login,success,5760
28,"lreynolds",login,success,0
11,"amy54",logout,success,4320
17,"christopherbradley",logout,success,2880
29,"nicolesullivan",logout,success,0
14,"martinbailey",logout,success,4320
12,"martinezapril",logout,success,4320
28,"lreynolds",create_topic,success,0
21,"sarahrichardson",create_topic,success,1440
4,"xallen",create_topic,success,7200
2,"meghanclark",create_topic,success,7200
20,"uharrington",create_topic,success,2880
28,"lreynolds",delete_topic,success,0
12,"martinezapril",delete_topic,success,4320
8,"cookstephen",delete_topic,success,5760
21,"sarahrichardson",delete_topic,success,1440
4,"xallen",delete_topic,success,7200
5,"ffigueroa",create_message,success,7200
2,"meghanclark",create_message,success,7200
31,"tuckercrystal",registration,success,0
32,"robert01",registration,success,0
33,"john22",registration,success,0
34,"saralopez",registration,success,0
35,"qrodriguez",registration,success,0
27,"harperbarry",login,success,1440
26,"williamsjason",login,success,1440
13,"martineznicholas",login,success,5760
8,"cookstephen",login,success,7200
2,"meghanclark",login,success,8640
34,"saralopez",logout,success,0
23,"william40",logout,success,2880
21,"sarahrichardson",logout,success,2880
12,"martinezapril",logout,success,5760
7,"kdavenport",logout,success,7200
32,"robert01",create_topic,success,0
24,"morseanita",create_topic,success,2880
3,"dunnbrittany",delete_topic,success,8640
8,"cookstephen",delete_topic,success,7200
12,"martinezapril",delete_topic,success,5760
6,"melissa61",delete_topic,success,7200
14,"martinbailey",delete_topic,success,5760
9,"uwillis",create_message,success,7200
30,"ysoto",create_message,success,1440
36,"dennisbullock",registration,success,0
37,"michelecruz",registration,success,0
38,"ashleyhill",registration,success,0
39,"tsimmons",registration,success,0
40,"laurenbrown",registration,success,0
19,"vsilva",login,success,5760
32,"robert01",login,success,1440
20,"uharrington",login,success,5760
19,"vsilva",login,success,5760
2,"meghanclark",login,success,10080
5,"ffigueroa",logout,success,10080
28,"lreynolds",logout,success,2880
15,"steven69",logout,success,7200
13,"martineznicholas",logout,success,7200
17,"christopherbradley",logout,success,5760
35,"qrodriguez",create_topic,success,1440
20,"uharrington",create_topic,success,5760
32,"robert01",delete_topic,success,1440
2,"meghanclark",delete_topic,success,10080
17,"christopherbradley",delete_topic,success,5760
35,"qrodriguez",delete_topic,success,1440
36,"dennisbullock",delete_topic,success,0
27,"harperbarry",create_message,success,2880
3,"dunnbrittany",create_message,success,10080
1,"edwardspaul",create_message,success,10080
5,"ffigueroa",create_message,success,10080
41,"francisvaldez",registration,success,0
42,"gmunoz",registration,success,0
43,"mitchellsandra",registration,success,0
44,"aaronlopez",registration,success,0
45,"crawfordbrianna",registration,success,0
18,"margaret49",login,success,7200
36,"dennisbullock",login,success,1440
21,"sarahrichardson",login,success,5760
14,"martinbailey",login,success,8640
17,"christopherbradley",login,success,7200
14,"martinbailey",logout,success,8640
7,"kdavenport",logout,success,10080
19,"vsilva",logout,success,7200
31,"tuckercrystal",logout,success,2880
12,"martinezapril",logout,success,8640
19,"vsilva",create_topic,success,7200
41,"francisvaldez",create_topic,success,0
37,"michelecruz",create_topic,success,1440
14,"martinbailey",create_topic,success,8640
12,"martinezapril",delete_topic,success,8640
27,"harperbarry",delete_topic,success,4320
